Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","344","Chine - RAS de Hong-Kong","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","45839.633793","X","Chiffre de source externe",""
"MK","Indicateurs macro","446","Chine - RAS de Macao","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","50383.871121","X","Chiffre de source externe",""
"MK","Indicateurs macro","446","Chine - RAS de Macao","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","77926.719435","X","Chiffre de source externe",""
"MK","Indicateurs macro","156","Chine, continentale","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","12310490.458252","X","Chiffre de source externe",""
"MK","Indicateurs macro","156","Chine, continentale","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","8716.287929","X","Chiffre de source externe",""
"MK","Indicateurs macro","196","Chypre","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","22946.535929","X","Chiffre de source externe",""
"MK","Indicateurs macro","196","Chypre","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","18294.65371","X","Chiffre de source externe",""
"MK","Indicateurs macro","170","Colombie","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","311866.875136","X","Chiffre de source externe",""
"MK","Indicateurs macro","170","Colombie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","6479.532312","X","Chiffre de source externe",""
"MK","Indicateurs macro","174","Comores","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1077.439756","X","Chiffre de source externe",""
"MK","Indicateurs macro","174","Comores","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1423.923861","X","Chiffre de source externe",""
"MK","Indicateurs macro","178","Congo","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","11834.473048","X","Chiffre de source externe",""
"MK","Indicateurs macro","178","Congo","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","2211.6331","X","Chiffre de source externe",""
"MK","Indicateurs macro","188","Costa Rica","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","60516.044623","X","Chiffre de source externe",""
"MK","Indicateurs macro","188","Costa Rica","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","12317.09027","X","Chiffre de source externe",""
"MK","Indicateurs macro","384","Côte d'Ivoire","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","52512.344034","X","Chiffre de source externe",""
"MK","Indicateurs macro","384","Côte d'Ivoire","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1964.299342","X","Chiffre de source externe",""
"MK","Indicateurs macro","191","Croatie","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","56573.333483","X","Chiffre de source externe",""
"MK","Indicateurs macro","191","Croatie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","13868.732468","X","Chiffre de source externe",""
"MK","Indicateurs macro","192","Cuba","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","96851","X","Chiffre de source externe",""
"MK","Indicateurs macro","192","Cuba","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","8610.63944","X","Chiffre de source externe",""
"MK","Indicateurs macro","531","Curaçao","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","3033.433248","X","Chiffre de source externe",""
"MK","Indicateurs macro","531","Curaçao","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","18000.861924","X","Chiffre de source externe",""
"MK","Indicateurs macro","208","Danemark","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","331610.593962","X","Chiffre de source externe",""
"MK","Indicateurs macro","208","Danemark","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","57519.675743","X","Chiffre de source externe",""
"MK","Indicateurs macro","262","Djibouti","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2762.582925","X","Chiffre de source externe",""
"MK","Indicateurs macro","262","Djibouti","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","2618.957961","X","Chiffre de source externe",""
"MK","Indicateurs macro","212","Dominique","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","520.7","X","Chiffre de source externe",""
"MK","Indicateurs macro","212","Dominique","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","7601.84827","X","Chiffre de source externe",""
"MK","Indicateurs macro","818","Égypte","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","205589.37774","X","Chiffre de source externe",""
"MK","Indicateurs macro","818","Égypte","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","1982.61518","X","Chiffre de source externe",""
"MK","Indicateurs macro","222","El Salvador","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","24979.19","X","Chiffre de source externe",""
"MK","Indicateurs macro","222","El Salvador","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","4020.12639","X","Chiffre de source externe",""
"MK","Indicateurs macro","784","Émirats arabes unis","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","390516.804017","X","Chiffre de source externe",""
"MK","Indicateurs macro","784","Émirats arabes unis","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","42289.687599","X","Chiffre de source externe",""
"MK","Indicateurs macro","218","Équateur","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","104467.485714","X","Chiffre de source externe",""
"MK","Indicateurs macro","218","Équateur","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","6233.322245","X","Chiffre de source externe",""
"MK","Indicateurs macro","232","Érythrée","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1903.966833","X","Chiffre de source externe",""
