Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCL","Cultures et produits animaux","854","Burkina Faso","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","68","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","108","Burundi","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3.82","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","108","Burundi","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","8","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","132","Cabo Verde","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","10731.36","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","132","Cabo Verde","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","12406","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","116","Cambodge","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","872.63","I","Valeur imputée par une agence réceptrice",""
"TCL","Cultures et produits animaux","116","Cambodge","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","2282","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","120","Cameroun","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","9.5","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","120","Cameroun","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","32","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","124","Canada","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","143243.01","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","124","Canada","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","338542","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","152","Chili","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","130215.99","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","152","Chili","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","176644","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","159","Chine","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1362583.46","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","159","Chine","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","2519891","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","344","Chine - RAS de Hong-Kong","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","736107.78","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","344","Chine - RAS de Hong-Kong","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","1296629","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","446","Chine - RAS de Macao","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","18565.1","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","446","Chine - RAS de Macao","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","40439","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","156","Chine, continentale","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","450411.21","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","156","Chine, continentale","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","1027766","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","158","Chine, Taiwan Province de","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","157499.36","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","158","Chine, Taiwan Province de","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","155056","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","196","Chypre","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","9641.05","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","196","Chypre","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","24238","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","170","Colombie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","54122.91","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","170","Colombie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","56779","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","174","Comores","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","61.65","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","174","Comores","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","65","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","178","Congo","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","94170.1","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","178","Congo","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","107482","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","188","Costa Rica","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","12189.07","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","188","Costa Rica","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","19579","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","384","Côte d'Ivoire","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","183.15","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","384","Côte d'Ivoire","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","325","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","191","Croatie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","13306.98","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","191","Croatie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","32834","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","192","Cuba","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","305005.42","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","192","Cuba","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","286559","A","Chiffre officiel",""
