Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","246","Finlande","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","120800","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","250","France","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1161745","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","266","Gabon","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3994.81","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","270","Gambie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1272.98","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","268","Géorgie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","21800","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","288","Ghana","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","60291","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","300","Grèce","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","243730","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","308","Grenade","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","657.9","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","320","Guatemala","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","288425","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","324","Guinée","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","14991","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","226","Guinée équatoriale","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","249.84","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","624","Guinée-Bissau","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2827.15","I","Valeur imputée par une agence réceptrice",""
